k,head,program,strategy,increase,kl_div
1,"(3, 0)",initial_token_attention,baseline,0.645109957913235,0.048723357723793013
2,"(10, 2)",initial_token_attention,baseline,2.311814715537194,0.09565070804208517
3,"(10, 1)",initial_token_attention,baseline,2.2307972782123513,0.1354384548170492
4,"(10, 6)",initial_token_attention,baseline,2.34190117856458,0.18327044016681612
5,"(8, 11)",sentence_initial_dominance,baseline,1.1218259265771646,0.24867901302874088
6,"(9, 8)",sentence_initial_dominance,baseline,2.163147969152839,0.3263383144605905
7,"(4, 11)",previous_attention,baseline,4.868336191516989,0.4312205867562443
8,"(5, 0)",initial_token_attention,baseline,6.25606458364079,0.5493404744938016
9,"(9, 1)",initial_token_attention,baseline,6.824861703170061,0.5975339938886464
10,"(9, 4)",initial_token_attention,baseline,8.912114748131806,0.6538718528114259
11,"(6, 9)",cls_attention,baseline,10.487137954155783,0.7816196576878428
12,"(6, 2)",sentence_initial_dominance,baseline,10.927274210556035,0.8619750054180622
13,"(7, 11)",initial_token_attention,baseline,11.153356912980435,0.9946713070943951
14,"(10, 8)",initial_token_attention,baseline,12.919969793115,1.0733171097934247
15,"(5, 9)",sentence_initial_dominance,baseline,15.456950597374178,1.1884040024504066
16,"(11, 6)",initial_token_attention,baseline,693.1953366283884,2.824885354042053
17,"(7, 7)",initial_token_attention,baseline,693.6884700313697,2.8544008922576904
18,"(0, 1)",repeated_attention,baseline,1244.3433334479412,3.618480529785156
19,"(9, 6)",initial_token_attention,baseline,1245.0192452194908,3.633465313911438
20,"(10, 3)",sentence_initial_dominance,baseline,1226.4991377992822,3.63329074382782
21,"(3, 4)",initial_token_attention,baseline,1220.718635836088,3.6225910806655883
22,"(6, 6)",initial_token_attention,baseline,1221.255836915923,3.622905011177063
23,"(11, 1)",sentence_initial_dominance,baseline,1264.7214044875618,3.6808599185943605
24,"(11, 7)",initial_token_attention,baseline,1261.1377856368451,3.701913347244263
25,"(7, 2)",cls_attention,baseline,1259.8097962629463,3.6995237064361572
26,"(6, 10)",initial_token_attention,baseline,1259.6220549168022,3.70195360660553
27,"(7, 6)",sentence_initial_dominance,baseline,1253.3900770708096,3.707466859817505
28,"(5, 5)",initial_token_attention,baseline,1245.8622898069962,3.710284595489502
29,"(8, 1)",initial_token_attention,baseline,1245.1141838598942,3.716302137374878
30,"(7, 10)",initial_token_attention,baseline,1247.4109911296443,3.714685907363892
31,"(5, 1)",cls_attention,baseline,1258.437044345611,3.7098749685287475
32,"(9, 5)",sentence_initial_dominance,baseline,1237.4812992559248,3.7085862922668458
33,"(9, 11)",initial_token_attention,baseline,1225.5254416312775,3.7095939826965334
34,"(7, 1)",initial_token_attention,baseline,1225.1893007956542,3.7040533113479612
35,"(10, 0)",initial_token_attention,baseline,1213.327504644829,3.699042592048645
36,"(9, 9)",sentence_start_dominance,baseline,1202.3572939520063,3.7002119064331054
37,"(11, 5)",initial_token_attention,baseline,1193.5358695533216,3.714331588745117
38,"(11, 2)",initial_token_attention,baseline,1389.3535505409627,3.731111445426941
39,"(11, 9)",initial_token_attention,baseline,1383.686725137492,3.739292516708374
40,"(10, 10)",initial_token_attention,baseline,1377.846348660553,3.7278689336776734
41,"(8, 0)",sentence_initial_dominance,baseline,1371.9240607993631,3.733816318511963
42,"(8, 3)",initial_token_attention,baseline,1368.4851234764362,3.734510774612427
43,"(4, 10)",initial_token_attention,baseline,1380.373440028928,3.743420095443726
