k,head,program,strategy,increase,kl_div
1,"(8, 11)",sentence_initial_dominance,baseline,-1.30004932584938,0.05714699191390537
2,"(7, 1)",initial_token_attention,baseline,-1.7214936609655416,0.11042603903450071
3,"(11, 1)",sentence_initial_dominance,baseline,81.97020296162488,1.7999693174660205
4,"(8, 1)",initial_token_attention,baseline,83.31376175042504,1.8490260890126229
5,"(11, 5)",initial_token_attention,baseline,93.60496769576059,1.9308893388509751
6,"(11, 7)",initial_token_attention,baseline,171.0701665235452,2.416530547142029
7,"(4, 10)",initial_token_attention,baseline,176.42210060163322,2.452838840484619
8,"(6, 10)",initial_token_attention,baseline,183.07107968250534,2.516135172843933
9,"(7, 7)",initial_token_attention,baseline,183.37436029840921,2.5520089614391326
10,"(7, 2)",cls_attention,baseline,187.63025095240928,2.59933393239975
11,"(8, 3)",initial_token_attention,baseline,187.55113125289128,2.6297278583049772
12,"(10, 10)",initial_token_attention,baseline,189.8063050884997,2.649335553646088
13,"(0, 1)",repeated_attention,baseline,495.5263206187956,3.659893717765808
14,"(4, 11)",previous_attention,baseline,500.34424568734556,3.6715252161026
15,"(9, 4)",initial_token_attention,baseline,499.9774906854598,3.654544463157654
16,"(10, 1)",initial_token_attention,baseline,496.3953691063008,3.6537403726577757
17,"(11, 2)",initial_token_attention,baseline,780.53707347559,3.672028760910034
18,"(7, 10)",initial_token_attention,baseline,784.9051347196446,3.6798088359832763
19,"(10, 2)",initial_token_attention,baseline,773.7960542696351,3.676780734062195
20,"(11, 6)",initial_token_attention,baseline,1550.2332937644917,3.7804198551177977
21,"(3, 0)",initial_token_attention,baseline,1549.1766308512053,3.7863534021377565
22,"(10, 8)",initial_token_attention,baseline,1540.0026044275187,3.780353837013245
23,"(5, 0)",initial_token_attention,baseline,1533.1888561599503,3.7800022411346434
24,"(10, 6)",initial_token_attention,baseline,1535.205273965901,3.7799926471710203
25,"(9, 6)",initial_token_attention,baseline,1534.7423500458638,3.7795961189270018
26,"(6, 2)",sentence_initial_dominance,baseline,1533.3709642491965,3.776043186187744
27,"(9, 9)",sentence_start_dominance,baseline,1523.0252839655689,3.7753572559356687
28,"(7, 6)",sentence_initial_dominance,baseline,1516.0835518035058,3.773257684707642
29,"(11, 9)",initial_token_attention,baseline,1512.430183836199,3.779366774559021
30,"(9, 1)",initial_token_attention,baseline,1504.7875939508795,3.7792052936553957
31,"(9, 5)",sentence_initial_dominance,baseline,1474.488830269787,3.7684001302719117
32,"(7, 11)",initial_token_attention,baseline,1458.956200734332,3.7681429862976072
33,"(9, 11)",initial_token_attention,baseline,1442.9016580929288,3.7666631984710692
34,"(5, 9)",sentence_initial_dominance,baseline,1430.4701604053012,3.751452717781067
35,"(10, 0)",initial_token_attention,baseline,1417.5796195539972,3.7422587871551514
36,"(3, 4)",initial_token_attention,baseline,1415.8371335976688,3.74113929271698
37,"(6, 6)",initial_token_attention,baseline,1421.5490814761988,3.7385919094085693
38,"(8, 0)",sentence_initial_dominance,baseline,1415.1668789554717,3.743476753234863
39,"(5, 1)",cls_attention,baseline,1424.652584157527,3.7376729249954224
40,"(10, 3)",sentence_initial_dominance,baseline,1418.0477547034798,3.7397064399719238
41,"(5, 5)",initial_token_attention,baseline,1408.5908702382856,3.7437112617492674
42,"(6, 9)",cls_attention,baseline,1395.3398290655098,3.750297689437866
43,"(9, 8)",sentence_initial_dominance,baseline,1380.373440028928,3.743420095443726
