k,head,program,strategy,increase,kl_div
1,"(7, 10)",initial_token_attention,baseline,0.1402382943238788,0.048046025396324694
2,"(10, 6)",initial_token_attention,baseline,-0.08342359870964064,0.08290475897490979
3,"(9, 11)",initial_token_attention,baseline,-0.7671606896590647,0.1432603330910206
4,"(10, 3)",sentence_initial_dominance,baseline,-0.2136436327220637,0.18391594184562565
5,"(3, 0)",initial_token_attention,baseline,0.6178630197248473,0.246237050909549
6,"(5, 5)",initial_token_attention,baseline,2.647304606495845,0.35735083776526155
7,"(8, 11)",sentence_initial_dominance,baseline,2.9159710106288355,0.4935440346598625
8,"(8, 1)",initial_token_attention,baseline,3.9848630165612478,0.5619306882284582
9,"(9, 4)",initial_token_attention,baseline,6.194495767026422,0.6030998011678457
10,"(7, 7)",initial_token_attention,baseline,6.461362600149218,0.6435887289047241
11,"(5, 1)",cls_attention,baseline,8.146235484788265,0.7116874051652848
12,"(7, 11)",initial_token_attention,baseline,9.06560310472589,0.8491502999514341
13,"(0, 1)",repeated_attention,baseline,295.67305196138545,3.707366952896118
14,"(11, 2)",initial_token_attention,baseline,694.1849467683074,3.5818279790878296
15,"(5, 0)",initial_token_attention,baseline,687.7104730514121,3.5845438766479494
16,"(8, 3)",initial_token_attention,baseline,680.8858965118752,3.590400972366333
17,"(11, 1)",sentence_initial_dominance,baseline,733.9298365750325,3.632506446838379
18,"(5, 9)",sentence_initial_dominance,baseline,724.9441645179378,3.6237725019454956
19,"(6, 2)",sentence_initial_dominance,baseline,724.3499117088967,3.6174167251586913
20,"(10, 2)",initial_token_attention,baseline,713.6942265324225,3.6179769802093507
21,"(9, 9)",sentence_start_dominance,baseline,705.9187384091741,3.629131965637207
22,"(10, 1)",initial_token_attention,baseline,699.3564286631922,3.629067106246948
23,"(6, 10)",initial_token_attention,baseline,703.2703274173921,3.6278993272781372
24,"(9, 5)",sentence_initial_dominance,baseline,683.5272743964865,3.621839928627014
25,"(10, 10)",initial_token_attention,baseline,682.6734481226816,3.6095147943496704
26,"(7, 1)",initial_token_attention,baseline,682.6556575564417,3.6102685070037843
27,"(9, 8)",sentence_initial_dominance,baseline,672.8766258804383,3.5965293264389038
28,"(11, 5)",initial_token_attention,baseline,673.2877619009283,3.6187826776504517
29,"(10, 8)",initial_token_attention,baseline,668.1370598272015,3.6096103048324584
30,"(10, 0)",initial_token_attention,baseline,662.7458633355724,3.605385627746582
31,"(7, 2)",cls_attention,baseline,664.9682852944276,3.613361988067627
32,"(9, 6)",initial_token_attention,baseline,664.9118395987869,3.611863098144531
33,"(11, 9)",initial_token_attention,baseline,662.466207359269,3.6280028009414673
34,"(11, 7)",initial_token_attention,baseline,698.8233137821599,3.6426373386383055
35,"(4, 11)",previous_attention,baseline,700.3050801064452,3.6494505167007447
36,"(6, 9)",cls_attention,baseline,688.9570928601937,3.6572493362426757
37,"(3, 4)",initial_token_attention,baseline,692.2805388955198,3.657367091178894
38,"(8, 0)",sentence_initial_dominance,baseline,688.4965997229534,3.664431428909302
39,"(6, 6)",initial_token_attention,baseline,692.9452921829372,3.6593653535842896
40,"(9, 1)",initial_token_attention,baseline,690.9901559212024,3.6623624038696287
41,"(7, 6)",sentence_initial_dominance,baseline,690.3791411421665,3.671372022628784
42,"(4, 10)",initial_token_attention,baseline,700.1733037800471,3.683992414474487
43,"(11, 6)",initial_token_attention,baseline,1380.373440028928,3.743420095443726
