k,head,program,strategy,increase,kl_div
1,"(4, 10)",initial_token_attention,smart,0.09046176127012868,0.0014396770575694972
2,"(9, 11)",initial_token_attention,smart,0.3798263368331905,0.0029739996169519146
3,"(4, 11)",previous_attention,smart,0.6469587629175558,0.00458616446951055
4,"(6, 2)",sentence_initial_dominance,smart,-0.8481575790753263,0.005497596711938968
5,"(8, 1)",initial_token_attention,smart,-1.095615450602135,0.006528964641911443
6,"(10, 6)",initial_token_attention,smart,-1.2204323453907213,0.007315721334744012
7,"(10, 3)",sentence_initial_dominance,smart,-2.997195857288092,0.007394294907935545
8,"(6, 6)",initial_token_attention,smart,-3.3076224325679853,0.008377940090722404
9,"(5, 1)",cls_attention,smart,-3.2164033611289296,0.010164605308091268
10,"(3, 4)",initial_token_attention,smart,-3.430018865857465,0.011875049370864872
11,"(6, 9)",cls_attention,smart,-3.872885677857355,0.013619685461744666
12,"(11, 9)",initial_token_attention,smart,-4.1766530050262265,0.015921870482852683
13,"(8, 3)",initial_token_attention,smart,-3.8321996410200594,0.01807332525611855
14,"(7, 6)",sentence_initial_dominance,smart,-4.876446027106988,0.018037550309672953
15,"(6, 10)",initial_token_attention,smart,-4.927018521114571,0.020864474332192913
16,"(10, 2)",initial_token_attention,smart,-4.891688965341268,0.022460883036255836
17,"(5, 0)",initial_token_attention,smart,-4.5962696538992045,0.02413071760442108
18,"(11, 2)",initial_token_attention,smart,-3.208213882889565,0.026650194184621796
19,"(9, 9)",sentence_start_dominance,smart,-3.051801478320657,0.030094530255300924
20,"(8, 0)",sentence_initial_dominance,smart,-4.635080126074965,0.02999048718600534
21,"(10, 10)",initial_token_attention,smart,-4.352311081570404,0.032386901112040505
22,"(5, 5)",initial_token_attention,smart,-4.861581603492826,0.03500593478791416
23,"(9, 8)",sentence_initial_dominance,smart,-6.340381440877381,0.034686681265011426
24,"(8, 11)",sentence_initial_dominance,smart,-7.671945092535851,0.03506394338211976
25,"(9, 5)",sentence_initial_dominance,smart,-9.389588175114694,0.03478959416854195
26,"(0, 1)",repeated_attention,smart,-9.430230002488685,0.034557488455902785
27,"(7, 2)",cls_attention,smart,-9.277734153546689,0.03676308064023033
28,"(11, 6)",initial_token_attention,smart,4.1587763755947025,0.03998437448404729
29,"(7, 10)",initial_token_attention,smart,4.355937908149157,0.04312045760452747
30,"(9, 6)",initial_token_attention,smart,4.621950986009966,0.04584319983725436
31,"(9, 1)",initial_token_attention,smart,4.865975218476345,0.04797211256925948
32,"(7, 7)",initial_token_attention,smart,4.8700192430420355,0.04855135920457542
33,"(11, 5)",initial_token_attention,smart,5.274048422599753,0.05111522770603187
34,"(10, 1)",initial_token_attention,smart,5.654220342309546,0.054352206288604064
35,"(9, 4)",initial_token_attention,smart,5.674632495697331,0.05584720448590815
36,"(10, 8)",initial_token_attention,smart,5.650376165177948,0.057685308202635496
37,"(10, 0)",initial_token_attention,smart,5.967301294957813,0.0605790336872451
38,"(7, 1)",initial_token_attention,smart,6.0308441639430495,0.0633314405521378
39,"(3, 0)",initial_token_attention,smart,5.844570605565655,0.06276508410228417
40,"(11, 7)",initial_token_attention,smart,7.08254993566813,0.06832510499283671
41,"(5, 9)",sentence_initial_dominance,smart,6.224711417650428,0.06833890486275777
42,"(7, 11)",initial_token_attention,smart,6.334455922442267,0.07131946554640307
43,"(11, 1)",sentence_initial_dominance,smart,4.833126988392987,0.07132200295338408
