k,head,program,strategy,increase,kl_div
1,"(6, 9)",cls_attention,smart,-0.670385547903433,0.0015776233398355544
2,"(7, 2)",cls_attention,smart,-0.4782086369895691,0.0034787418963969684
3,"(9, 9)",sentence_start_dominance,smart,-0.3617196238663184,0.0054055192362284284
4,"(5, 1)",cls_attention,smart,-0.33984778462831317,0.007466660273494199
5,"(9, 6)",initial_token_attention,smart,-0.26141103126776283,0.008514462278108113
6,"(4, 11)",previous_attention,smart,0.01982431166778043,0.00950920268369373
7,"(8, 1)",initial_token_attention,smart,-0.15730811865802227,0.01214945022307802
8,"(7, 10)",initial_token_attention,smart,-0.031784023790484374,0.013263146038516424
9,"(10, 8)",initial_token_attention,smart,-0.40153219484714947,0.014608346755849197
10,"(10, 10)",initial_token_attention,smart,-0.2528133922696736,0.016394806815660558
11,"(3, 0)",initial_token_attention,smart,-0.4767217721364171,0.01693771729245782
12,"(10, 1)",initial_token_attention,smart,-0.3963212228405396,0.01851465948158875
13,"(10, 6)",initial_token_attention,smart,-0.5015675791703118,0.020210307223023846
14,"(9, 11)",initial_token_attention,smart,-0.17005626297509643,0.021266662978450767
15,"(11, 6)",initial_token_attention,smart,14.879004608840612,0.02393579917086754
16,"(5, 5)",initial_token_attention,smart,14.557976145954099,0.025775366412708535
17,"(10, 2)",initial_token_attention,smart,14.960397648426977,0.027910851155174898
18,"(7, 11)",initial_token_attention,smart,15.22462848961436,0.031225407946622
19,"(9, 1)",initial_token_attention,smart,15.556689061466205,0.03449050299474038
20,"(11, 9)",initial_token_attention,smart,15.524736938033358,0.037812994414707646
21,"(9, 4)",initial_token_attention,smart,15.788046035795695,0.03912404438480735
22,"(6, 10)",initial_token_attention,smart,15.922169822659205,0.044022195860743525
23,"(11, 2)",initial_token_attention,smart,16.219001770675728,0.04747712579905056
24,"(3, 4)",initial_token_attention,smart,16.128778683244494,0.04947771465056576
25,"(0, 1)",repeated_attention,smart,16.11753362417732,0.049365679225884376
26,"(7, 7)",initial_token_attention,smart,16.130980145082635,0.04977838901570067
27,"(11, 5)",initial_token_attention,smart,16.54979019570861,0.0522578708967194
28,"(8, 3)",initial_token_attention,smart,17.103143062783236,0.05615581734105945
29,"(9, 8)",sentence_initial_dominance,smart,15.408258497393248,0.05576040181098506
30,"(5, 0)",initial_token_attention,smart,16.011879438201316,0.05916112455772236
31,"(5, 9)",sentence_initial_dominance,smart,14.963299263611692,0.05802722456865013
32,"(7, 1)",initial_token_attention,smart,15.262358926762884,0.06084408404771238
33,"(8, 11)",sentence_initial_dominance,smart,13.186817379181543,0.06037676375824958
34,"(4, 10)",initial_token_attention,smart,13.42149160003734,0.06369904486462474
35,"(10, 0)",initial_token_attention,smart,13.742495161729844,0.06690380869898944
36,"(7, 6)",sentence_initial_dominance,smart,12.615913595872389,0.0660306939878501
37,"(6, 6)",initial_token_attention,smart,12.332136970987946,0.06767749242018908
38,"(11, 1)",sentence_initial_dominance,smart,10.637741380871084,0.06767870530951768
39,"(10, 3)",sentence_initial_dominance,smart,8.597054740625369,0.06728487021755428
40,"(6, 2)",sentence_initial_dominance,smart,7.385889700387285,0.06731364008970558
41,"(8, 0)",sentence_initial_dominance,smart,5.5903316796004106,0.06647378226742148
42,"(11, 7)",initial_token_attention,smart,6.855260805692072,0.07198740169638768
43,"(9, 5)",sentence_initial_dominance,smart,4.833126988392987,0.07132200295338408
