k,head,program,strategy,increase,kl_div
1,"(5, 1)",cls_attention,baseline,1.2023174998575366,0.05497698885854334
2,"(4, 11)",previous_attention,baseline,3.368227045714136,0.11916010063258
3,"(7, 2)",cls_attention,baseline,3.313128616852211,0.1890871931426227
4,"(6, 9)",cls_attention,baseline,4.418351553307211,0.3153428653720766
5,"(9, 9)",sentence_start_dominance,baseline,3.8784919469660464,0.41517293780110776
6,"(7, 10)",initial_token_attention,baseline,4.618158032329175,0.45842882110737265
7,"(9, 6)",initial_token_attention,baseline,5.690893237570885,0.4677976247668266
8,"(10, 8)",initial_token_attention,baseline,7.0032100137032804,0.5094676509127021
9,"(10, 10)",initial_token_attention,baseline,9.435326117579384,0.5687191228754819
10,"(8, 1)",initial_token_attention,baseline,9.987658949832255,0.6536776401102543
11,"(3, 0)",initial_token_attention,baseline,11.450827260389588,0.7327912173047662
12,"(9, 11)",initial_token_attention,baseline,10.613988527616161,0.8197426329553127
13,"(10, 6)",initial_token_attention,baseline,12.01822614382457,0.9041729348152876
14,"(10, 1)",initial_token_attention,baseline,13.127833493385872,0.9499379722028971
15,"(11, 6)",initial_token_attention,baseline,731.750004203548,2.86829106092453
16,"(10, 2)",initial_token_attention,baseline,691.7724584999348,2.791305902004242
17,"(9, 4)",initial_token_attention,baseline,691.9943557987303,2.79061829328537
18,"(11, 9)",initial_token_attention,baseline,687.9746726574937,2.7981093168258666
19,"(5, 5)",initial_token_attention,baseline,691.7056294521973,2.831718201637268
20,"(9, 1)",initial_token_attention,baseline,694.7031131267838,2.825745463371277
21,"(7, 11)",initial_token_attention,baseline,693.8569129649951,2.8639634680747985
22,"(6, 10)",initial_token_attention,baseline,708.1035137623153,2.930476975440979
23,"(11, 2)",initial_token_attention,baseline,898.3781157783496,3.0768504619598387
24,"(0, 1)",repeated_attention,baseline,1546.253398692536,3.7517282247543333
25,"(7, 7)",initial_token_attention,baseline,1521.0336070014498,3.7688736724853515
26,"(3, 4)",initial_token_attention,baseline,1516.485668991134,3.759005513191223
27,"(11, 5)",initial_token_attention,baseline,1489.027090438182,3.7569264650344847
28,"(5, 0)",initial_token_attention,baseline,1482.5451325994939,3.7509523916244505
29,"(7, 1)",initial_token_attention,baseline,1488.4775758630533,3.765157356262207
30,"(5, 9)",sentence_initial_dominance,baseline,1476.2007257014907,3.756287250518799
31,"(4, 10)",initial_token_attention,baseline,1491.1450837365699,3.771454381942749
32,"(10, 0)",initial_token_attention,baseline,1473.374190760927,3.7645285511016846
33,"(9, 8)",sentence_initial_dominance,baseline,1452.0326884234717,3.748763837814331
34,"(8, 3)",initial_token_attention,baseline,1449.0340380465086,3.746202449798584
35,"(7, 6)",sentence_initial_dominance,baseline,1449.9543419563838,3.755870614051819
36,"(8, 11)",sentence_initial_dominance,baseline,1421.2666078766813,3.7393841218948363
37,"(6, 6)",initial_token_attention,baseline,1434.7156768447776,3.73932834148407
38,"(11, 1)",sentence_initial_dominance,baseline,1450.62871191226,3.74747857093811
39,"(10, 3)",sentence_initial_dominance,baseline,1442.3697951645174,3.7517839574813845
40,"(6, 2)",sentence_initial_dominance,baseline,1443.9995457338705,3.7534772634506224
41,"(9, 5)",sentence_initial_dominance,baseline,1410.4459748124095,3.7467685079574586
42,"(8, 0)",sentence_initial_dominance,baseline,1404.2852165249742,3.7529401874542234
43,"(11, 7)",initial_token_attention,baseline,1380.373440028928,3.743420095443726
