k,head,program,strategy,increase,kl_div
1,"(10, 2)",initial_token_attention,smart,0.008307712197430366,0.001065253290653345
2,"(10, 0)",initial_token_attention,smart,0.03647753427359079,0.002217076080451079
3,"(7, 2)",cls_attention,smart,0.2061815332622195,0.004712986519625702
4,"(6, 9)",cls_attention,smart,-0.4567545450098908,0.005983472242660355
5,"(11, 9)",initial_token_attention,smart,-0.8747586797363303,0.008290858627296983
6,"(5, 1)",cls_attention,smart,-0.8500962355210924,0.01044663021879387
7,"(7, 7)",initial_token_attention,smart,-0.9371848367614902,0.011608262955269311
8,"(5, 5)",initial_token_attention,smart,-1.299242478732406,0.01401835485594347
9,"(10, 1)",initial_token_attention,smart,-1.2761252327012405,0.015109033471962902
10,"(5, 9)",sentence_initial_dominance,smart,-1.9509728326407196,0.016100596134201624
11,"(4, 11)",previous_attention,smart,-1.6631517889059682,0.01813263869291404
12,"(9, 9)",sentence_start_dominance,smart,-1.5690346089743548,0.02059729963715654
13,"(7, 1)",initial_token_attention,smart,-1.200904859125054,0.021464447353500872
14,"(11, 2)",initial_token_attention,smart,0.026774314290488307,0.024524561747675762
15,"(9, 6)",initial_token_attention,smart,0.15006021119043744,0.025736240788828583
16,"(7, 11)",initial_token_attention,smart,0.3622535699235743,0.027666732340294403
17,"(10, 8)",initial_token_attention,smart,-0.00831554132685241,0.029825915702385828
18,"(6, 10)",initial_token_attention,smart,0.03108923457037804,0.03290798302972689
19,"(8, 3)",initial_token_attention,smart,0.4091812747941895,0.03453495340712834
20,"(11, 1)",sentence_initial_dominance,smart,-1.3988943536909275,0.034536493762861935
21,"(9, 5)",sentence_initial_dominance,smart,-3.3030300253313705,0.03424231984070502
22,"(8, 11)",sentence_initial_dominance,smart,-4.999457374076274,0.03441480947250966
23,"(3, 0)",initial_token_attention,smart,-5.255856756767847,0.03326350403483957
24,"(9, 11)",initial_token_attention,smart,-4.9372662092889845,0.035282752461498604
25,"(9, 8)",sentence_initial_dominance,smart,-6.2585742956532355,0.03515029963338748
26,"(8, 1)",initial_token_attention,smart,-6.471555419648706,0.039619859023950994
27,"(6, 2)",sentence_initial_dominance,smart,-7.596657933564895,0.03985027053393424
28,"(11, 5)",initial_token_attention,smart,-7.385437394585473,0.04167003427282907
29,"(9, 4)",initial_token_attention,smart,-7.447073780329163,0.04279100095387548
30,"(10, 10)",initial_token_attention,smart,-7.238470212962125,0.045162297461647544
31,"(11, 7)",initial_token_attention,smart,-6.137888816211465,0.04859186743735336
32,"(3, 4)",initial_token_attention,smart,-6.301015618834652,0.050318430727347735
33,"(11, 6)",initial_token_attention,smart,8.5260958685109,0.05467121253255755
34,"(4, 10)",initial_token_attention,smart,8.684374884898443,0.057886774698272345
35,"(0, 1)",repeated_attention,smart,8.632288055715758,0.05782960287993774
36,"(5, 0)",initial_token_attention,smart,9.074587834473496,0.06234064847696572
37,"(9, 1)",initial_token_attention,smart,9.536295452814334,0.06548795110546052
38,"(10, 6)",initial_token_attention,smart,9.580401822564859,0.06916467587929219
39,"(8, 0)",sentence_initial_dominance,smart,7.791475436541397,0.0684254898270592
40,"(7, 10)",initial_token_attention,smart,7.97869589963493,0.07097776148468256
41,"(7, 6)",sentence_initial_dominance,smart,7.003787232122242,0.06981431563617661
42,"(6, 6)",initial_token_attention,smart,6.703103496843414,0.07173186980653554
43,"(10, 3)",sentence_initial_dominance,smart,4.833126988392987,0.07132200295338408
