k,head,program,strategy,increase,kl_div
1,"(8, 3)",initial_token_attention,smart,0.3306924234184014,0.0025070597291050943
2,"(7, 10)",initial_token_attention,smart,0.4687095837693521,0.004456132506093126
3,"(9, 8)",sentence_initial_dominance,smart,-1.0735219290477758,0.004621374277630821
4,"(7, 11)",initial_token_attention,smart,-1.03681745682767,0.0061682505087810565
5,"(5, 1)",cls_attention,smart,-0.9791938152278926,0.007062330598128028
6,"(10, 3)",sentence_initial_dominance,smart,-2.729460608798809,0.00706636234826874
7,"(9, 6)",initial_token_attention,smart,-2.6828573332994528,0.007852975378336851
8,"(9, 5)",sentence_initial_dominance,smart,-4.6808574383368695,0.007898476153204683
9,"(11, 2)",initial_token_attention,smart,-3.4113473907434684,0.009338688308198471
10,"(11, 6)",initial_token_attention,smart,9.563300809096972,0.011332479200791567
11,"(9, 11)",initial_token_attention,smart,10.044349792130967,0.013525419662473724
12,"(7, 7)",initial_token_attention,smart,9.984840818320649,0.014776001223362983
13,"(10, 6)",initial_token_attention,smart,9.994084039726966,0.01746746371674817
14,"(10, 1)",initial_token_attention,smart,10.239236974454993,0.01886183900234755
15,"(0, 1)",repeated_attention,smart,10.208499836089846,0.01915605140500702
16,"(9, 4)",initial_token_attention,smart,10.318653214361486,0.020244314998271874
17,"(8, 1)",initial_token_attention,smart,9.855408480958259,0.023570590768940747
18,"(6, 10)",initial_token_attention,smart,9.880181065526326,0.026885527349077166
19,"(4, 11)",previous_attention,smart,10.251901833147508,0.02713662149733864
20,"(8, 0)",sentence_initial_dominance,smart,8.392531747170636,0.026749875872628764
21,"(4, 10)",initial_token_attention,smart,8.516786051193968,0.02970414433046244
22,"(3, 0)",initial_token_attention,smart,8.270840555296123,0.02930769322672859
23,"(10, 0)",initial_token_attention,smart,8.590351469760362,0.03148415898438543
24,"(10, 10)",initial_token_attention,smart,9.132852707334136,0.034423991853836926
25,"(11, 9)",initial_token_attention,smart,9.075706479396922,0.03636885272222571
26,"(11, 1)",sentence_initial_dominance,smart,7.39976179268168,0.03637056084931828
27,"(9, 9)",sentence_start_dominance,smart,7.573591141959513,0.03922557171084918
28,"(6, 9)",cls_attention,smart,7.2130767089079555,0.042233833910431715
29,"(10, 2)",initial_token_attention,smart,7.676659666719063,0.04484117490705103
30,"(8, 11)",sentence_initial_dominance,smart,6.157223861950326,0.04455613526515663
31,"(6, 6)",initial_token_attention,smart,5.8390602936436675,0.04637159229023382
32,"(3, 4)",initial_token_attention,smart,5.800824852524773,0.04773968591820449
33,"(6, 2)",sentence_initial_dominance,smart,4.564097339257836,0.04804587671766058
34,"(7, 1)",initial_token_attention,smart,4.626047761954489,0.05111012911889702
35,"(11, 5)",initial_token_attention,smart,5.068719190257821,0.05344329766463488
36,"(5, 9)",sentence_initial_dominance,smart,4.203877345940616,0.052892550057731566
37,"(7, 6)",sentence_initial_dominance,smart,3.2693029750066116,0.05231885644607246
38,"(7, 2)",cls_attention,smart,3.386240632470167,0.054788125730119645
39,"(11, 7)",initial_token_attention,smart,4.67910251641375,0.059682135756593195
40,"(9, 1)",initial_token_attention,smart,4.992007684033984,0.06296386152738705
41,"(5, 5)",initial_token_attention,smart,4.57399099376244,0.06566302057821304
42,"(10, 8)",initial_token_attention,smart,4.435686649185699,0.06742786697112024
43,"(5, 0)",initial_token_attention,smart,4.833126988392987,0.07132200295338408
