k,head,program,strategy,increase,kl_div
1,"(4, 11)",previous_attention,baseline,1.9394932708865287,0.046922007703688
2,"(11, 7)",initial_token_attention,baseline,98.49112114469551,1.9208119404315949
3,"(10, 1)",initial_token_attention,baseline,96.43389701733011,1.9238285449147225
4,"(8, 1)",initial_token_attention,baseline,95.75928546834577,1.9455331671237945
5,"(6, 10)",initial_token_attention,baseline,99.79776649206582,2.01674792945385
6,"(0, 1)",repeated_attention,baseline,432.646395809792,3.5641142320632935
7,"(8, 11)",sentence_initial_dominance,baseline,427.8388409354988,3.5754057455062864
8,"(9, 4)",initial_token_attention,baseline,428.6610540892167,3.5543266248703005
9,"(3, 0)",initial_token_attention,baseline,429.3951884642221,3.562874436378479
10,"(7, 11)",initial_token_attention,baseline,424.45523167557053,3.5659259557724
11,"(4, 10)",initial_token_attention,baseline,427.2243369768424,3.582814769744873
12,"(11, 5)",initial_token_attention,baseline,439.39062797030715,3.62648033618927
13,"(10, 6)",initial_token_attention,baseline,436.76055015975754,3.6212209987640382
14,"(9, 9)",sentence_start_dominance,baseline,429.8304280987279,3.6213355016708375
15,"(7, 1)",initial_token_attention,baseline,424.82108659472004,3.6120513010025026
16,"(10, 3)",sentence_initial_dominance,baseline,422.5420759582259,3.612890558242798
17,"(8, 3)",initial_token_attention,baseline,422.251227002415,3.6200117301940917
18,"(6, 9)",cls_attention,baseline,408.0897367302967,3.6255457496643064
19,"(11, 6)",initial_token_attention,baseline,1290.3825786485568,3.7391730976104736
20,"(11, 9)",initial_token_attention,baseline,1286.6444017601657,3.747928109169006
21,"(9, 11)",initial_token_attention,baseline,1272.3279102890053,3.7483368062973024
22,"(10, 2)",initial_token_attention,baseline,1249.2335639906998,3.739490509033203
23,"(9, 6)",initial_token_attention,baseline,1248.6248269460855,3.737861075401306
24,"(11, 1)",sentence_initial_dominance,baseline,1274.5204708981973,3.7600140523910524
25,"(3, 4)",initial_token_attention,baseline,1274.113093139723,3.757432322502136
26,"(5, 5)",initial_token_attention,baseline,1264.8410894001283,3.7609058952331544
27,"(5, 9)",sentence_initial_dominance,baseline,1255.2403104310504,3.7535131072998045
28,"(9, 5)",sentence_initial_dominance,baseline,1235.9132195261973,3.7519722414016723
29,"(7, 7)",initial_token_attention,baseline,1219.6127838833324,3.753832097053528
30,"(7, 10)",initial_token_attention,baseline,1223.0474485373882,3.7524864959716795
31,"(6, 2)",sentence_initial_dominance,baseline,1221.1316769877592,3.753594069480896
32,"(10, 10)",initial_token_attention,baseline,1215.9204462283121,3.74029381275177
33,"(7, 2)",cls_attention,baseline,1215.8240870922098,3.7523972511291506
34,"(9, 8)",sentence_initial_dominance,baseline,1205.3265466147727,3.7451918363571166
35,"(5, 0)",initial_token_attention,baseline,1201.412407045155,3.73809974193573
36,"(10, 8)",initial_token_attention,baseline,1193.4063245294997,3.7299011278152467
37,"(6, 6)",initial_token_attention,baseline,1197.5511163988285,3.724960141181946
38,"(7, 6)",sentence_initial_dominance,baseline,1195.6526434061373,3.727079553604126
39,"(9, 1)",initial_token_attention,baseline,1190.1490690200708,3.730426297187805
40,"(8, 0)",sentence_initial_dominance,baseline,1186.2091465986368,3.7373690843582152
41,"(10, 0)",initial_token_attention,baseline,1175.1240060638413,3.73230929851532
42,"(11, 2)",initial_token_attention,baseline,1367.1510492762225,3.7446079635620118
43,"(5, 1)",cls_attention,baseline,1380.373440028928,3.743420095443726
